target_id,ca_lddt.first.factor_native,ca_lddt.first.factor_rotated,ca_lddt.first.gplus_native,ca_lddt.first.gplus_rotated,ca_lddt.first.psi,ca_lddt.all.factor_native,ca_lddt.all.factor_rotated,ca_lddt.all.gplus_native,ca_lddt.all.gplus_rotated,ca_lddt.all.psi,ca_lddt.last.factor_native,ca_lddt.last.factor_rotated,ca_lddt.last.gplus_native,ca_lddt.last.gplus_rotated,ca_lddt.last.psi,ca_lddt.D_write_R1,ca_lddt.D_timing_R1,ca_lddt.D_last_R1,residue_ca_lddt.first.factor_native,residue_ca_lddt.first.factor_rotated,residue_ca_lddt.first.gplus_native,residue_ca_lddt.first.gplus_rotated,residue_ca_lddt.first.psi,residue_ca_lddt.all.factor_native,residue_ca_lddt.all.factor_rotated,residue_ca_lddt.all.gplus_native,residue_ca_lddt.all.gplus_rotated,residue_ca_lddt.all.psi,residue_ca_lddt.last.factor_native,residue_ca_lddt.last.factor_rotated,residue_ca_lddt.last.gplus_native,residue_ca_lddt.last.gplus_rotated,residue_ca_lddt.last.psi,residue_ca_lddt.D_write_R1,residue_ca_lddt.D_timing_R1,residue_ca_lddt.D_last_R1,tm_score_fixed_full_length.first.factor_native,tm_score_fixed_full_length.first.factor_rotated,tm_score_fixed_full_length.first.gplus_native,tm_score_fixed_full_length.first.gplus_rotated,tm_score_fixed_full_length.first.psi,tm_score_fixed_full_length.all.factor_native,tm_score_fixed_full_length.all.factor_rotated,tm_score_fixed_full_length.all.gplus_native,tm_score_fixed_full_length.all.gplus_rotated,tm_score_fixed_full_length.all.psi,tm_score_fixed_full_length.last.factor_native,tm_score_fixed_full_length.last.factor_rotated,tm_score_fixed_full_length.last.gplus_native,tm_score_fixed_full_length.last.gplus_rotated,tm_score_fixed_full_length.last.psi,tm_score_fixed_full_length.D_write_R1,tm_score_fixed_full_length.D_timing_R1,tm_score_fixed_full_length.D_last_R1
3gxb_A,0.3260293591120659,0.2778016469745793,0.28702112423916937,0.28616183315431437,0.047368421052631525,0.6239706408879341,0.6336018617973505,0.3344432509846043,0.3485141424991049,0.004439670605084138,0.44167561761546725,0.5201754385964913,0.5429287504475475,0.5034192624418189,-0.11800930898675259,-0.04292875044754738,0.1653777300393841,0.12244897959183672,0.32918659986120996,0.27834687203471514,0.28810187625253375,0.28713738121967897,0.04987523279364007,0.6129624208855488,0.6207804166218738,0.3332331852485548,0.34776722127972487,0.006716040294845145,0.4341003799007514,0.5088407350230265,0.5325106300129255,0.49408651730841546,-0.11316446782678531,-0.04315919249879493,0.1630397006204254,0.11988050812163047,0.35026666666666667,0.26893333333333336,0.26263333333333333,0.26476666666666665,0.08346666666666665,0.71,0.7211333333333334,0.3499999999999999,0.3623,0.0011666666666666492,0.4862333333333333,0.6213333333333334,0.6467333333333333,0.6029666666666667,-0.17886666666666665,-0.0823,0.2623333333333333,0.1800333333333333
6a89_A,0.27254224270353306,0.26850998463901693,0.2663402457757296,0.2606182795698925,-0.0016897081413210873,0.48726958525345615,0.3592357910906298,0.29249231950844856,0.28600230414746547,0.12154377880184337,0.3353110599078341,0.30524193548387096,0.35456989247311826,0.33682795698924733,0.012327188940092179,0.12323348694316445,-0.014016897081413265,0.1092165898617512,0.2703105508905524,0.26691204547784875,0.2653480558160735,0.25980193197197504,-0.002147618431394799,0.47891687817437106,0.35480224435643404,0.2901937011596787,0.28521417401555405,0.11913510667381239,0.3314993946264838,0.30493177724604775,0.35550110534165297,0.338524921499947,0.009591433538730118,0.12128272510520717,-0.011739051970124917,0.10954367313508227,0.27719999999999995,0.26353333333333334,0.25323333333333337,0.24450000000000002,0.004933333333333308,0.5579666666666667,0.42989999999999995,0.2881666666666667,0.29223333333333334,0.13213333333333335,0.3693666666666667,0.3101333333333333,0.37646666666666667,0.3544333333333333,0.03719999999999999,0.12720000000000006,-0.03226666666666669,0.09493333333333337
4xbc_A,0.24597727446045906,0.2510867078471746,0.24738808815679095,0.2486654465034698,-0.003832075040036594,0.2779684282772821,0.2867383512544803,0.2491802028521315,0.2587508579272478,0.0008007320979180887,0.25162052924578665,0.2624876077175322,0.27503241058491573,0.258274231678487,-0.02762525737817433,0.0046328071379546825,0.023793182338137736,0.028425989476092418,0.2587260960001024,0.2635608806545508,0.25966938487723074,0.26090363876321937,-0.0036005307684597496,0.2860282488406332,0.2910556666484245,0.26057732379399623,0.26914418444464433,0.0035394428428567326,0.26343515654303556,0.2680489851553746,0.28087161267330446,0.26781618862729784,-0.017669252658345642,0.007139973611316482,0.014068721889885893,0.021208695501202374,0.20656666666666668,0.21293333333333334,0.20976666666666666,0.2109,-0.00523333333333333,0.2524,0.25836666666666663,0.21296666666666667,0.22873333333333332,0.009800000000000003,0.2108,0.2473,0.24026666666666666,0.21256666666666665,-0.0642,0.015033333333333334,0.05896666666666667,0.074
6q3v_A,0.32264173998044965,0.3118075920495275,0.3136811665037471,0.30404855001629194,0.0012015314434669262,0.4379480286738351,0.4298835125448029,0.2965542521994135,0.327020202020202,0.03853046594982077,0.4209840338872597,0.41401922450309553,0.4128787878787879,0.3923509286412512,-0.013563049853372441,0.03732893450635385,0.014764581296839366,0.05209351580319321,0.33722087155508823,0.3278798753723528,0.3305585877074592,0.32110764216951887,-0.00010994935520495612,0.45273957396246206,0.44562682005660853,0.31554321655846646,0.3415054832291456,0.03307502057653263,0.42947291433529217,0.42952206849612046,0.42798760452151,0.4082972389938393,-0.019739519688499036,0.033184969931737585,0.019629570333294082,0.05281454026503166,0.21756666666666669,0.2213333333333333,0.23423333333333332,0.21976666666666667,-0.01823333333333334,0.2962,0.29940000000000005,0.21836666666666668,0.21713333333333332,-0.0044333333333333265,0.2830333333333333,0.28623333333333334,0.28709999999999997,0.2814333333333333,-0.00886666666666667,0.013800000000000015,-0.00936666666666667,0.004433333333333345
7nuw_A,0.39015588914549654,0.35724595842956114,0.35654830638953044,0.35582659738260203,0.03218822170900696,0.45347382602001546,0.42179080061585833,0.39328329484218627,0.3866195150115474,0.02501924557351809,0.44543879907621253,0.4285508083140878,0.44762798306389534,0.4508997305619708,0.02015973826020016,-0.007168976135488873,0.012028483448806804,0.0048595073133179305,0.40982840994288056,0.377353483495086,0.3762687304026536,0.3756243961738417,0.031830592218982566,0.47852942715109864,0.44214034715413714,0.4144481563183862,0.4090439113472863,0.03098483502586154,0.46494678571838016,0.45083474641798366,0.4695750830717369,0.4719496444229341,0.016486600651593592,-0.0008457571931210217,0.01534399156738897,0.014498234374267949,0.30516666666666664,0.26406666666666667,0.26846666666666663,0.27166666666666667,0.044300000000000006,0.4111666666666667,0.3832,0.30896666666666667,0.3034666666666666,0.022466666666666673,0.3920333333333333,0.3808,0.38630000000000003,0.3939,0.01883333333333335,-0.021833333333333333,0.025466666666666655,0.0036333333333333218
2obi_A,0.30766125777024306,0.29837733107289904,0.29244369096633566,0.273229999192702,-0.009929765076289667,0.43283280858965045,0.3675627674174538,0.29698474206829745,0.3184588681682409,0.08674416727214014,0.3378138370872689,0.3506700573181561,0.34110357633002336,0.34558408008395897,-0.008375716476951622,0.0966739323484298,-0.0015540485993380444,0.09511988374909176,0.30751335339257263,0.2997949558252564,0.29384540341262044,0.2751557876495501,-0.010971218195754112,0.43029154342520015,0.3615567535190174,0.29962708037438524,0.3175486354845251,0.08665634501632262,0.3454847739108307,0.3510399937920112,0.34963076287885825,0.35296129640156426,-0.0022246863584743926,0.09762756321207673,-0.00874653183727972,0.08888103137479701,0.3089,0.3072333333333333,0.306,0.2744666666666667,-0.029866666666666625,0.42860000000000004,0.3315333333333333,0.27836666666666665,0.30116666666666664,0.11986666666666666,0.39926666666666666,0.35026666666666667,0.34,0.3496333333333334,0.058633333333333336,0.14973333333333327,-0.08849999999999995,0.06123333333333333
3qzq_A,0.25744301994301994,0.23408119658119655,0.23879985754985755,0.25058760683760684,0.035149572649572636,0.36118233618233625,0.31426282051282056,0.26862535612535615,0.26826923076923076,0.046563390313390296,0.3050391737891738,0.29015313390313385,0.2812678062678063,0.2731125356125356,0.006730769230769244,0.01141381766381766,0.02841880341880339,0.039832621082621054,0.26134298756863755,0.24117126070218112,0.24757314160050467,0.25614612016339117,0.028744705429342987,0.36502770487023,0.31675962671879027,0.2701945209577817,0.2693416954757116,0.047415252669369655,0.3101107102204374,0.2914108943549801,0.2840849317542587,0.2730266929149072,0.00764157702610585,0.018670547240026664,0.021103128403237137,0.039773675643263805,0.21530000000000002,0.1953,0.19649999999999998,0.19296666666666665,0.016466666666666668,0.3922666666666667,0.2946,0.22613333333333333,0.23273333333333332,0.10426666666666666,0.29216666666666663,0.26236666666666664,0.2710666666666667,0.23090000000000002,-0.010366666666666672,0.08779999999999999,0.026833333333333338,0.11463333333333332
4woh_A,0.377392051030422,0.3356844946025515,0.33597072293097807,0.33738141969250895,0.0431182531894014,0.4274002289826628,0.4557572783774943,0.34179751390251883,0.3456207065750736,-0.02453385672227676,0.349525678770036,0.4355781812234216,0.4244357212953876,0.4326341184167484,-0.07785410533202487,-0.06765210991167815,0.12097235852142628,0.05332024860974812,0.3932190001012155,0.35733309060019103,0.35709846153562425,0.35846544388706647,0.037252891852466774,0.44164546774674657,0.4663108049477264,0.36222001975210505,0.3665009001519864,-0.020384456801098443,0.3683827639621006,0.4478459098456156,0.4379513947149581,0.4485620094806366,-0.06885253111783655,-0.057637348653565214,0.10610542297030333,0.04846807431673811,0.43663333333333326,0.4114333333333333,0.41250000000000003,0.41206666666666664,0.024766666666666676,0.5184666666666666,0.5305333333333334,0.41863333333333336,0.4271333333333333,-0.0035666666666666993,0.4256333333333333,0.5316,0.5204,0.54,-0.08636666666666669,-0.028333333333333377,0.11113333333333336,0.08279999999999998
6ndw_A,0.3478052290717198,0.3381706244503078,0.34342768049892064,0.3433277364675782,0.00953466059006954,0.3510034380746782,0.3576397217558167,0.3700327816422804,0.3578995762373071,-0.018769489086111774,0.33331334452706485,0.3421683857040058,0.33587191172943154,0.34288798272967136,-0.0018389701767010196,-0.028304149676181316,0.01137363076677056,-0.016930518909410757,0.3523287390427056,0.34486752958879024,0.350571819245816,0.35061385134808587,0.0075032415561851655,0.3557878210118739,0.3592867502665698,0.37425967200366345,0.36149914654348986,-0.016259454714869486,0.3374820924603735,0.3489797708431432,0.34069284880258865,0.3468107931258911,-0.005379734059467271,-0.02376269627105465,0.012882975615652437,-0.010879720655402214,0.32746666666666663,0.3247666666666667,0.3328,0.3328,0.002699999999999999,0.3544666666666667,0.38093333333333335,0.4016,0.37683333333333335,-0.05123333333333335,0.3418666666666667,0.3337333333333334,0.34593333333333326,0.3461,0.00830000000000003,-0.053933333333333354,-0.005600000000000031,-0.05953333333333338
3hny_A,0.21266066838046271,0.2185946872322194,0.22577120822622107,0.22476435304198797,-0.0069408740359897065,0.4255355612682091,0.46351756640959724,0.22574978577549273,0.34353041988003424,0.07979862896315341,0.3094901456726649,0.2512853470437018,0.2173521850899743,0.22630676949443015,0.06715938303341903,0.08673950299914313,-0.07410025706940875,0.012639245929734385,0.22854855693213771,0.23515872658493273,0.24279310663052167,0.2416668312476998,-0.007736445035616907,0.432681609424151,0.4593417384716672,0.24136996790641904,0.3530371962979631,0.08500709934402796,0.31173479512248387,0.26133459281383414,0.22600560981480597,0.23541072716865719,0.059805319662500946,0.09274354437964487,-0.06754176469811786,0.02520177968152702,0.2112333333333333,0.21446666666666667,0.21683333333333332,0.2164,-0.003666666666666679,0.5232333333333333,0.5529333333333333,0.2159333333333333,0.3788666666666667,0.1332333333333334,0.35086666666666666,0.24546666666666664,0.21063333333333334,0.21430000000000002,0.10906666666666665,0.13690000000000005,-0.11273333333333335,0.024166666666666725
