target_id,length_bin,Psi1536,Psi3072,K
5b5h_A,192-255,-0.012588700260486838,0.05920237132848289,0.07179107158896973
3gsl_A,192-255,0.07073296440972222,0.11981879340277778,0.04908582899305555
4z21_A,192-255,-0.07178292812239642,-0.004632785478047907,0.06715014264434851
2cul_A,192-255,0.021468600626339263,-0.004308371334908356,-0.02577697196124762
3ny6_A,192-255,0.01012840124229362,-0.00034186251332680843,-0.010470263755620428
6ml9_A,192-255,0.01929137403205467,0.007734557896632404,-0.011556816135422266
4ew9_A,192-255,0.022262043135735505,0.00664040638856605,-0.015621636747169456
5h0k_A,192-255,0.08741045572321293,0.12130391708581006,0.033893461362597146
4k48_A,192-255,0.15244007269869342,-0.035023086747224624,-0.18746315944591807
4bg0_A,192-255,-0.08228651839648546,-0.06488536518396484,0.017401153212520608
6h1x_A,192-255,-0.022573795600111395,-0.014585073795600126,0.007988721804511267
3psn_A,192-255,0.038446323493052464,0.009154180883152797,-0.029292142609899666
4dix_A,192-255,-0.014450989085228079,-0.04484662317647308,-0.030395634091245002
2afr_A,192-255,0.006609471242300639,-0.025077993760499167,-0.03168746500279981
4mln_A,192-255,0.04116635972989564,-0.040184162062615054,-0.08135052179251069
3l1b_A,192-255,0.011949685534591217,0.02843981021736734,0.016490124682776122
5je2_A,192-255,0.013347647164072255,0.011647879763821768,-0.0016997674002504873
1qua_A,192-255,0.06232511512106988,-0.00492982572102142,-0.0672549408420913
1svi_A,192-255,0.044993402544377226,0.013605696218288653,-0.031387706326088574
2f8y_A,192-255,0.014162995151588328,0.0036564266602289917,-0.010506568491359336
3lhs_A,256-319,0.009434030963720308,0.015099547049999273,0.0056655160862789655
4utp_A,256-319,0.011469267618747336,0.0011563124145905891,-0.010312955204156747
5ep2_A,256-319,-0.00944983638256732,0.002087051911349083,0.011536888293916402
3o01_A,256-319,-0.015206274917663366,-0.014508580343213685,0.000697694574449681
1l8t_A,256-319,0.0005121716076163457,0.002870743380504797,0.0023585717728884514
7e7v_A,256-319,-0.02044936527343815,0.008313333031441982,0.028762698304880135
3gld_A,256-319,0.053175564301813166,0.0033639452349715584,-0.0498116190668416
2jhn_A,256-319,0.059522750192798256,-0.03334668090407547,-0.09286943109687372
4dw8_A,256-319,0.002507476420519924,0.0011732229123533333,-0.0013342535081665903
4xkz_A,256-319,0.04849616377788926,-0.0055128276579539115,-0.05400899143584317
2g71_A,256-319,0.025416136181449493,-0.002463809119630277,-0.027879945301079772
1p9p_A,256-319,0.014915495825697388,0.04986538156971879,0.03494988574402141
4cc6_A,256-319,0.09275437910201241,0.05037597253009952,-0.04237840657191289
1wl7_A,256-319,0.00896301338779214,0.012032624864483298,0.0030696114766911586
6an3_A,256-319,0.0016614679930309073,-0.013513038835497149,-0.015174506828528056
5y0z_A,256-319,0.07828176606219227,0.08198962422882777,0.0037078581666354976
4eu0_A,256-319,0.010930320685898338,0.0006868457202406426,-0.010243474965657695
3w68_A,256-319,0.10484125657173642,0.13125359936093925,0.02641234278920283
1t71_A,256-319,-0.001264597063244271,0.03484145565961388,0.03610605272285815
5mfp_A,256-319,0.03901707640891819,0.006027865525187304,-0.032989210883730885
2ae1_A,256-319,0.05452156145467725,0.04819813139552129,-0.0063234300591559585
4qpc_A,256-319,-0.004371974593581272,0.0175928257645709,0.021964800358152167
4uhf_A,256-319,0.004948425855082323,0.006556575703476996,0.0016081498483946726
3r8q_A,256-319,0.004856352257321666,0.005891693130536526,0.0010353408732148603
3def_A,256-319,0.06344062792539779,0.009523295168142888,-0.0539173327572549
3olh_A,256-319,-0.026077020544845692,0.020201677376534825,0.04627869792138052
3uzu_A,256-319,-0.014636499166885943,0.025589757081469808,0.040226256248355755
4rw5_A,256-319,-0.010479277577422903,0.027527334134753008,0.03800661171217591
1g2n_A,256-319,0.06420500862575593,0.07401562114921617,0.009810612523460235
1mj9_A,256-319,-0.014158821743091417,0.0022902115598744605,0.016449033302965876
1jqe_A,256-319,0.043366583148174445,0.032974046234576636,-0.01039253691359781
5jzo_A,256-319,0.036566125955566964,0.0025027609253761574,-0.034063365030190806
6jv0_A,256-319,0.061221400458457684,-0.010001730028977997,-0.07122313048743568
3gzj_A,256-319,0.003765035826605725,0.15629154103037968,0.15252650520377398
6jmy_A,256-319,0.016281831493981866,0.038644237294189115,0.022362405800207246
