target_id,length_bin,psi,factor_rotation,gplus_rotation
3qra_A,128-191,0.050221648169409355,0.05431974741676233,0.004098099247352975
3n90_A,128-191,0.04646450744716641,0.06370615041135272,0.017241642964186312
2h19_A,128-191,-0.0083080808080808,-0.010303030303030333,-0.0019949494949495308
1wlf_A,128-191,0.07476940542074642,0.04533134667234283,-0.02943805874840359
3fj8_A,128-191,0.024598252043980792,0.01765968110766531,-0.006938570936315484
2xjk_A,128-191,0.014691004740432402,0.028298069140941143,0.01360706440050874
2gu3_A,128-191,-0.0056166489298805754,-0.00705529935753419,-0.0014386504276536144
6h6c_A,128-191,-0.011472684899581913,0.0004883816574131123,0.011961066556995026
2y2b_A,128-191,-0.0016390806303965893,0.05145476137460107,0.05309384200499766
3rgq_A,128-191,0.016410342137523706,0.0246433745681489,0.008233032430625195
4ilz_A,128-191,0.1409769463340892,-0.022874149659863945,-0.16385109599395312
4g78_A,128-191,0.014447689090777994,0.010482010238661786,-0.003965678852116208
4rej_A,128-191,0.026210353382954472,0.016118487225910298,-0.010091866157044172
1h6x_A,128-191,0.014789925619597391,0.015242238878837515,0.0004523132592401237
5jix_A,128-191,-0.03656427286564268,-0.020703611457036104,0.015860661408606574
1ktg_A,128-191,-0.018296367384659142,0.021175446079476745,0.03947181346413589
1qhq_A,128-191,0.08555366591080876,0.05909076593600404,-0.026462899974804728
3qn2_A,128-191,0.0050640953769107095,-0.0036158762193070964,-0.008679971596217806
3bmb_A,128-191,-0.017010989795190248,0.044770926996360476,0.06178191679155073
3sao_A,128-191,0.014980475683351084,0.014820731274405382,-0.00015974440894570317
3zfp_A,128-191,0.02693766185719568,0.012331976815883574,-0.014605685041312107
1a3z_A,128-191,-0.06647261948417064,-0.004988693313775827,0.061483926170394804
1j54_A,128-191,-0.007359451084550679,0.007470119521912356,0.014829570606463036
1esl_A,128-191,0.0062193864398040815,-0.0028841196184583584,-0.00910350605826244
2z6o_A,128-191,0.13718991893703908,0.08494849759249103,-0.05224142134454806
1jzj_A,128-191,-0.009348202127268033,0.01651577049059659,0.025863972617864623
1oll_A,128-191,0.004851642898187341,0.0022462518936425813,-0.00260539100454476
6otd_A,128-191,0.1439263097294185,0.022274712994005852,-0.12165159673541265
3k44_A,128-191,-0.010891481241448822,-0.00851515806149635,0.002376323179952474
1rxi_A,128-191,0.009383663894220517,0.009525840619890516,0.00014217672566999942
3olv_A,128-191,0.006724357533528069,0.004186334007642111,-0.0025380235258859584
1f21_A,128-191,-0.08426710608914002,0.017616133082234753,0.10188323917137478
6s09_A,128-191,0.014526179493404548,0.025518599444309602,0.010992419950905052
2zwj_A,128-191,0.05598445857301447,0.029846604097285283,-0.026137854475729187
2wc6_A,128-191,-0.001216097987751605,0.04995625546806648,0.05117235345581808
4oa3_A,128-191,0.022344613145446692,0.03739538883927093,0.015050775693824243
2cj6_A,128-191,-0.0017443852599445685,0.0072423138024483675,0.008986699062392935
1ryl_A,128-191,0.049052774018944555,0.08023605472861225,0.031183280709667707
2zez_A,128-191,0.03966568934721802,0.03245374582954202,-0.0072119435176760055
4kow_A,128-191,-0.0007278983589200773,-0.000661725780836416,6.617257808366133e-05
5ii8_A,128-191,0.06607855492543584,0.05426381012392355,-0.011814744801512282
1ahq_A,128-191,-0.13166376937563382,0.04967948717948719,0.18134325655512099
5ziq_A,128-191,0.03402838818895079,0.0017417065468633296,-0.032286681642087464
3by8_A,128-191,0.009480731881835847,0.010622167705884335,0.0011414358240484893
4ibb_B,128-191,0.2035120147874307,0.19821318545902644,-0.00529882932840421
6h49_A,128-191,-0.026474159791421155,-0.016420229293903323,0.01005393049751783
2jek_A,128-191,0.05914548022598867,0.007272329835889139,-0.05187315039009953
1tn3_A,128-191,-0.027106077611128123,0.04499540863177227,0.0721014862429004
3bgy_A,192-255,0.1234698208461779,0.10991600768440336,-0.01355381316177457
7cxz_A,192-255,0.032811303487047284,0.03670084608057373,0.003889542593526443
2ea1_A,192-255,-0.005697547732590335,0.0022459768883173283,0.007943524620907663
6iah_A,192-255,-0.010796845778626088,0.031884435190005216,0.0426812809686313
1jm1_A,192-255,0.20437757201646092,0.16396090534979424,-0.040416666666666684
5r60_A,192-255,0.0803035757139429,0.08089352851771858,0.0005899528037756804
1dex_A,192-255,0.013512067212500645,0.014653680811972651,0.0011416135994720073
3h7t_A,192-255,0.0287947761796374,0.03900108156972896,0.01020630539009156
1oa9_A,192-255,0.041947225637722754,0.06627534789312411,0.024328122255401374
3p35_C,192-255,-0.015394609620497915,0.007377527999355439,0.022772137619853354
6m14_A,192-255,-0.07110031078489717,-0.0062046772024951175,0.06489563358240207
6hdk_A,192-255,-0.0001457386032411856,-0.003988379775368219,-0.0038426411721270335
2fby_A,192-255,0.0006970804630019497,0.011059562303763025,0.010362481840761075
1iab_A,192-255,0.19999314974654062,0.22367790108234006,0.023684751335799423
4mll_A,192-255,0.05842339425934225,0.01017646961170044,-0.048246924647641805
5c30_A,192-255,0.0028793254151884395,0.002204483521003664,-0.0006748418941847757
4uas_A,192-255,-0.007487757658581031,0.010871009376304907,0.01835876703488594
3fjp_A,192-255,0.0020812726673260875,0.006934141114408179,0.004852868447082092
5ax1_A,192-255,0.024001470921022856,0.03103077619370899,0.007029305272686131
3ury_A,192-255,0.014207048458149777,-0.0031632403328438565,-0.017370288790993633
7e2u_A,192-255,0.06453413054309914,0.055505729945191824,-0.009028400597907327
2ckg_A,192-255,0.047501523461304145,0.011552914889295156,-0.03594860857200899
1tkg_A,192-255,-0.10188882838183982,-0.06610395111030437,0.03578487727153547
4wq7_A,192-255,0.08063497882046267,0.09047124470511565,0.009836265884652992
3lbf_A,192-255,0.04355149670218164,0.049101978691019815,0.00555048198883818
5hwk_A,192-255,-0.04870947434686812,-0.02825975763298711,0.02044971671388101
1g3q_A,192-255,-0.0017596233192563007,0.002451337313722638,0.004210960632978939
6ibu_A,192-255,0.011070047565273917,0.008362420011634663,-0.0027076275536392544
5b5h_A,192-255,-0.012588700260486838,0.03891134465103747,0.0515000449115243
3gsl_A,192-255,0.07073296440972222,0.0029771592881944445,-0.06775580512152778
4z21_A,192-255,-0.07178292812239642,-0.010925547224115725,0.060857380898280695
2cul_A,192-255,0.021468600626339263,0.04275406113217227,0.021285460505833007
3ny6_A,192-255,0.01012840124229362,0.020465396560515468,0.010336995318221846
6ml9_A,192-255,0.01929137403205467,0.044318386457770545,0.025027012425715874
4ew9_A,192-255,0.022262043135735505,0.019867407120409845,-0.00239463601532566
5h0k_A,192-255,0.08741045572321293,0.0813947950007621,-0.006015660722450843
